sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.0102;0.2376;9.8055;0.0;;;;NaN;;;;0 / 0;61506;2018-04-04 20:28:24:072
-0.0347;0.2741;9.6109;0.0;;;;NaN;;;;0 / 0;62006;2018-04-04 20:28:24:572
0.1041;0.568;9.5056;0.0;;;;NaN;;;;0 / 0;62506;2018-04-04 20:28:25:072
0.1329;0.8745;9.599;0.0;;;;NaN;;;;0 / 0;63006;2018-04-04 20:28:25:572
0.1975;0.832;9.8803;0.0;;;;NaN;;;;0 / 0;63507;2018-04-04 20:28:26:073
0.1179;0.568;9.9006;0.0;;;;NaN;;;;0 / 0;64007;2018-04-04 20:28:26:573
0.0563;0.2789;9.5792;0.0;;;;NaN;;;;0 / 0;64506;2018-04-04 20:28:27:072
-0.1041;0.2113;9.7779;0.0;;;;NaN;;;;0 / 0;65006;2018-04-04 20:28:27:572
-0.1287;0.504;9.5864;0.0;;;;NaN;;;;0 / 0;65507;2018-04-04 20:28:28:073
0.0587;0.6117;9.5517;0.0;;;;NaN;;;;0 / 0;66007;2018-04-04 20:28:28:573
0.0018;0.9726;9.6127;0.0;;;;NaN;;;;0 / 0;66506;2018-04-04 20:28:29:072
-0.4968;0.51;9.6349;0.0;;;;NaN;;;;0 / 0;67006;2018-04-04 20:28:29:572
-0.2179;0.2879;9.3984;0.0;;;;NaN;;;;0 / 0;67506;2018-04-04 20:28:30:072
-0.0042;0.3035;9.6648;0.0;;;;NaN;;;;0 / 0;68006;2018-04-04 20:28:30:572
-0.009;0.2346;9.5744;0.0;;;;NaN;;;;0 / 0;68507;2018-04-04 20:28:31:073
0.0018;0.431;9.6229;0.0;;;;NaN;;;;0 / 0;69007;2018-04-04 20:28:31:573
0.0192;0.7015;9.3284;0.0;;;;NaN;;;;0 / 0;69507;2018-04-04 20:28:32:073
0.0892;0.7248;9.4858;0.0;;;;NaN;;;;0 / 0;70007;2018-04-04 20:28:32:573
0.0712;0.5549;9.8138;0.0;;;;NaN;;;;0 / 0;70508;2018-04-04 20:28:33:074
-0.003;0.4519;9.9186;0.0;;;;NaN;;;;0 / 0;71006;2018-04-04 20:28:33:572
-0.0844;0.4549;9.6007;0.0;;;;NaN;;;;0 / 0;71506;2018-04-04 20:28:34:072
-0.1071;0.3322;9.5319;0.0;;;;NaN;;;;0 / 0;72006;2018-04-04 20:28:34:572
-0.1951;0.0658;9.8952;0.0;;;;NaN;;;;0 / 0;72507;2018-04-04 20:28:35:073
-0.0144;0.7027;9.3733;0.0;;;;NaN;;;;0 / 0;73007;2018-04-04 20:28:35:573
0.2963;0.8009;9.5636;0.0;;;;NaN;;;;0 / 0;73506;2018-04-04 20:28:36:072
-0.0377;0.6033;9.6343;0.0;;;;NaN;;;;0 / 0;74007;2018-04-04 20:28:36:573
-0.1903;0.489;9.4984;0.0;;;;NaN;;;;0 / 0;74507;2018-04-04 20:28:37:073
-0.0617;0.2023;9.6582;0.0;;;;NaN;;;;0 / 0;75008;2018-04-04 20:28:37:574
-0.1335;0.2873;9.5565;0.0;;;;NaN;;;;0 / 0;75506;2018-04-04 20:28:38:072
0.2077;0.3783;9.6211;0.0;;;;NaN;;;;0 / 0;76007;2018-04-04 20:28:38:573
1.0355;2.2422;8.3911;0.0;;;;NaN;;;;0 / 0;76507;2018-04-04 20:28:39:073
0.7063;0.9307;9.6307;0.0;;;;NaN;;;;0 / 0;77007;2018-04-04 20:28:39:573
1.479;0.817;9.6989;0.0;;;;NaN;;;;0 / 0;77506;2018-04-04 20:28:40:072
-0.0832;0.4076;9.8055;0.0;;;;NaN;;;;0 / 0;78006;2018-04-04 20:28:40:572
-0.9996;0.8607;9.3966;0.0;;;;NaN;;;;0 / 0;78506;2018-04-04 20:28:41:072
-0.0359;0.3083;9.6576;0.0;;;;NaN;;;;0 / 0;79006;2018-04-04 20:28:41:572
0.0712;-0.2269;9.7121;0.0;;;;NaN;;;;0 / 0;79507;2018-04-04 20:28:42:073
-0.2789;0.7428;9.6798;0.0;;;;NaN;;;;0 / 0;80006;2018-04-04 20:28:42:572
0.2699;0.9361;9.6558;0.0;;;;NaN;;;;0 / 0;80506;2018-04-04 20:28:43:072
0.0748;0.7434;9.8845;0.0;;;;NaN;;;;0 / 0;81006;2018-04-04 20:28:43:572
-0.2502;-0.0533;10.0245;0.0;;;;NaN;;;;0 / 0;81506;2018-04-04 20:28:44:072
-0.0796;0.0772;9.6097;0.0;;;;NaN;;;;0 / 0;82007;2018-04-04 20:28:44:573
-0.067;0.2634;9.5092;0.0;;;;NaN;;;;0 / 0;82506;2018-04-04 20:28:45:072
-0.0066;0.4747;9.7241;0.0;;;;NaN;;;;0 / 0;83006;2018-04-04 20:28:45:572
0.1484;0.8003;9.5367;0.0;;;;NaN;;;;0 / 0;83506;2018-04-04 20:28:46:072
0.1496;0.9248;9.6415;0.0;;;;NaN;;;;0 / 0;84007;2018-04-04 20:28:46:573
0.0892;0.7111;9.8539;0.0;;;;NaN;;;;0 / 0;84506;2018-04-04 20:28:47:072
-0.0772;0.349;9.7749;0.0;;;;NaN;;;;0 / 0;85007;2018-04-04 20:28:47:573
-0.1065;0.2143;9.6043;0.0;;;;NaN;;;;0 / 0;85507;2018-04-04 20:28:48:073
-0.0323;0.3071;9.6409;0.0;;;;NaN;;;;0 / 0;86007;2018-04-04 20:28:48:573
0.0682;0.6129;9.6217;0.0;;;;NaN;;;;0 / 0;86507;2018-04-04 20:28:49:073
0.1742;0.8805;9.654;0.0;;;;NaN;;;;0 / 0;87006;2018-04-04 20:28:49:572
0.1532;0.8859;9.7312;0.0;;;;NaN;;;;0 / 0;87506;2018-04-04 20:28:50:072
-0.0479;0.5872;9.8007;0.0;;;;NaN;;;;0 / 0;88007;2018-04-04 20:28:50:573
-0.0132;0.2682;9.5972;0.0;;;;NaN;;;;0 / 0;88506;2018-04-04 20:28:51:072
0.0144;0.2364;9.484;0.0;;;;NaN;;;;0 / 0;89006;2018-04-04 20:28:51:572
-0.0497;0.4741;9.6031;0.0;;;;NaN;;;;0 / 0;89507;2018-04-04 20:28:52:073
0.0982;0.5914;9.7073;0.0;;;;NaN;;;;0 / 0;90006;2018-04-04 20:28:52:572
0.176;0.9517;9.7187;0.0;;;;NaN;;;;0 / 0;90506;2018-04-04 20:28:53:072
0.2292;0.9667;9.76;0.0;;;;NaN;;;;0 / 0;91007;2018-04-04 20:28:53:573
0.009;0.51;9.6798;0.0;;;;NaN;;;;0 / 0;91507;2018-04-04 20:28:54:073
-0.064;0.1634;9.584;0.0;;;;NaN;;;;0 / 0;92006;2018-04-04 20:28:54:572
-0.0479;0.2173;9.6265;0.0;;;;NaN;;;;0 / 0;92507;2018-04-04 20:28:55:073
0.0233;0.489;9.6325;0.0;;;;NaN;;;;0 / 0;93006;2018-04-04 20:28:55:572
0.1508;0.8481;9.5367;0.0;;;;NaN;;;;0 / 0;93506;2018-04-04 20:28:56:072
0.1389;0.8835;9.8988;0.0;;;;NaN;;;;0 / 0;94007;2018-04-04 20:28:56:573
0.1006;0.7638;9.8587;0.0;;;;NaN;;;;0 / 0;94506;2018-04-04 20:28:57:072
-0.0628;0.334;9.7606;0.0;;;;NaN;;;;0 / 0;95007;2018-04-04 20:28:57:573
-0.085;0.1012;9.5618;0.0;;;;NaN;;;;0 / 0;95507;2018-04-04 20:28:58:073
-0.012;0.3083;9.6426;0.0;;;;NaN;;;;0 / 0;96007;2018-04-04 20:28:58:573
0.0347;0.6195;9.6558;0.0;;;;NaN;;;;0 / 0;96507;2018-04-04 20:28:59:073
0.1006;0.8152;9.5864;0.0;;;;NaN;;;;0 / 0;97006;2018-04-04 20:28:59:572
0.161;0.8882;9.7145;0.0;;;;NaN;;;;0 / 0;97506;2018-04-04 20:29:00:072
0.1119;0.7213;9.8791;0.0;;;;NaN;;;;0 / 0;98006;2018-04-04 20:29:00:572
0.1113;0.5818;9.8515;0.0;;;;NaN;;;;0 / 0;98506;2018-04-04 20:29:01:072
-0.0826;0.1664;9.4966;0.0;;;;NaN;;;;0 / 0;99007;2018-04-04 20:29:01:573
-0.009;0.4184;9.5517;0.0;;;;NaN;;;;0 / 0;99506;2018-04-04 20:29:02:072
0.103;0.7643;9.7121;0.0;;;;NaN;;;;0 / 0;100007;2018-04-04 20:29:02:573
0.161;0.8882;9.6971;0.0;;;;NaN;;;;0 / 0;100506;2018-04-04 20:29:03:072
0.1185;0.7009;9.6468;0.0;;;;NaN;;;;0 / 0;101006;2018-04-04 20:29:03:572
-0.0114;0.3765;9.6887;0.0;;;;NaN;;;;0 / 0;101506;2018-04-04 20:29:04:072
-0.0646;0.2765;9.7019;0.0;;;;NaN;;;;0 / 0;102007;2018-04-04 20:29:04:573
0.0078;0.3921;9.6552;0.0;;;;NaN;;;;0 / 0;102507;2018-04-04 20:29:05:073
0.0605;0.5728;9.6367;0.0;;;;NaN;;;;0 / 0;103006;2018-04-04 20:29:05:572
0.0814;0.7446;9.6582;0.0;;;;NaN;;;;0 / 0;103506;2018-04-04 20:29:06:072
0.1047;0.7428;9.7402;0.0;;;;NaN;;;;0 / 0;104006;2018-04-04 20:29:06:572
0.0958;0.5758;9.7336;0.0;;;;NaN;;;;0 / 0;104506;2018-04-04 20:29:07:072
-0.0431;0.3723;9.5092;0.0;;;;NaN;;;;0 / 0;105006;2018-04-04 20:29:07:572
-0.079;0.2705;9.5583;0.0;;;;NaN;;;;0 / 0;105506;2018-04-04 20:29:08:072
-0.0311;0.3669;9.8462;0.0;;;;NaN;;;;0 / 0;106006;2018-04-04 20:29:08:572
0.1041;0.7081;9.7246;0.0;;;;NaN;;;;0 / 0;106506;2018-04-04 20:29:09:072
0.1437;0.7787;9.581;0.0;;;;NaN;;;;0 / 0;107006;2018-04-04 20:29:09:572
0.0664;0.5986;9.5648;0.0;;;;NaN;;;;0 / 0;107507;2018-04-04 20:29:10:073
-0.0054;0.3891;9.6133;0.0;;;;NaN;;;;0 / 0;108006;2018-04-04 20:29:10:572
-0.0168;0.3711;9.8312;0.0;;;;NaN;;;;0 / 0;108506;2018-04-04 20:29:11:072
-0.0054;0.3998;9.7264;0.0;;;;NaN;;;;0 / 0;109007;2018-04-04 20:29:11:573
0.0742;0.6297;9.5379;0.0;;;;NaN;;;;0 / 0;109506;2018-04-04 20:29:12:072
0.0892;0.7386;9.6744;0.0;;;;NaN;;;;0 / 0;110006;2018-04-04 20:29:12:572
0.0784;0.6524;9.7342;0.0;;;;NaN;;;;0 / 0;110506;2018-04-04 20:29:13:072
0.0257;0.5303;9.7043;0.0;;;;NaN;;;;0 / 0;111006;2018-04-04 20:29:13:572
-0.0353;0.3801;9.6313;0.0;;;;NaN;;;;0 / 0;111506;2018-04-04 20:29:14:072
