sep=;;;;;;;;;;;;;;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.9541;2.6264;9.5002;8;41.783;NaN;0 / 0;57016;2018-04-04 20:28:26:662;;;;;;
0.9673;2.5486;9.5984;8;55.831;NaN;0 / 0;57516;2018-04-04 20:28:27:162;;;;;;
0.8775;2.083;9.5517;8;50.429;NaN;0 / 0;58016;2018-04-04 20:28:27:662;;;;;;
0.8308;1.8603;9.414;8;34.983;NaN;0 / 0;58515;2018-04-04 20:28:28:161;;;;;;
0.8212;1.9525;9.4068;8;37.033;NaN;0 / 0;59016;2018-04-04 20:28:28:662;;;;;;
0.814;2.2374;9.4727;8;38.43;NaN;0 / 0;59516;2018-04-04 20:28:29:162;;;;;;
0.8631;2.6576;9.3697;8;38.365;NaN;0 / 0;60016;2018-04-04 20:28:29:662;;;;;;
0.9337;2.8323;9.3733;8;40.987;NaN;0 / 0;60515;2018-04-04 20:28:30:161;;;;;;
0.8631;2.7593;9.5074;8;44.896;NaN;0 / 0;61016;2018-04-04 20:28:30:662;;;;;;
0.808;2.2661;9.5529;8;62.394;NaN;0 / 0;61516;2018-04-04 20:28:31:162;;;;;;
0.8056;1.9321;9.4739;8;65.426;NaN;0 / 0;62016;2018-04-04 20:28:31:662;;;;;;
0.82;2.0961;9.5205;8;62.53;NaN;0 / 0;62516;2018-04-04 20:28:32:162;;;;;;
0.8128;2.4588;9.4008;8;55.649;NaN;0 / 0;63016;2018-04-04 20:28:32:662;;;;;;
0.8679;2.8635;9.3194;8;38.34;NaN;0 / 0;63516;2018-04-04 20:28:33:162;;;;;;
0.8942;2.8587;9.5062;8;36.093;NaN;0 / 0;64015;2018-04-04 20:28:33:661;;;;;;
1.0068;2.5881;9.5505;8;40.423;NaN;0 / 0;64516;2018-04-04 20:28:34:162;;;;;;
1.0738;2.235;9.3398;8;39.137;NaN;0 / 0;65016;2018-04-04 20:28:34:662;;;;;;
0.9852;2.1165;9.3434;8;44.011;NaN;0 / 0;65516;2018-04-04 20:28:35:162;;;;;;
1.0702;2.2853;9.4451;8;59.55;NaN;0 / 0;66016;2018-04-04 20:28:35:662;;;;;;
1.1708;2.6528;9.4511;8;54.416;NaN;0 / 0;66515;2018-04-04 20:28:36:161;;;;;;
1.1444;2.9808;9.2907;8;41.792;NaN;0 / 0;67016;2018-04-04 20:28:36:662;;;;;;
1.0271;2.8659;9.3326;8;35.31;NaN;0 / 0;67516;2018-04-04 20:28:37:162;;;;;;
0.9505;2.3511;9.4212;8;59.247;NaN;0 / 0;68016;2018-04-04 20:28:37:662;;;;;;
0.7649;2.241;9.3338;8;39.294;NaN;0 / 0;68516;2018-04-04 20:28:38:162;;;;;;
2.9532;3.5374;6.8331;8;43.436;NaN;0 / 0;69015;2018-04-04 20:28:38:661;;;;;;
1.8316;-1.3862;9.9276;8;52.114;NaN;0 / 0;69516;2018-04-04 20:28:39:162;;;;;;
2.6516;0.0479;9.2919;8;51.886;NaN;0 / 0;70016;2018-04-04 20:28:39:662;;;;;;
2.7593;0.34;9.3853;8;58.197;NaN;0 / 0;70516;2018-04-04 20:28:40:162;;;;;;
3.2262;1.0894;9.3254;8;57.27;NaN;0 / 0;71016;2018-04-04 20:28:40:662;;;;;;
0.9697;2.4792;9.3482;8;54.189;NaN;0 / 0;71516;2018-04-04 20:28:41:162;;;;;;
0.2562;2.7904;9.1183;8;40.868;NaN;0 / 0;72016;2018-04-04 20:28:41:662;;;;;;
0.2801;2.8695;9.268;8;44.061;NaN;0 / 0;72516;2018-04-04 20:28:42:162;;;;;;
0.753;2.6719;9.3781;8;38.71;NaN;0 / 0;73016;2018-04-04 20:28:42:662;;;;;;
1.0283;2.5881;9.396;8;38.619;NaN;0 / 0;73516;2018-04-04 20:28:43:162;;;;;;
